TimeFrame,Station,Class,Type,Count,Pct
YoY,08,TollsByMail,3H,16,14.8148148148148
YoY,08,TollsByMail,3H,44,14.8148148148148
YoY,08,TollsByMail,4H,-8,-14.8148148148148
YoY,08,TollsByMail,4H,-24,-14.8148148148148
YoY,08,TollsByMail,6H,-2,-8
YoY,08,TollsByMail,6H,-10,-8
YoY,08,TollsByMail,7H,-2,-8.33333333333333
YoY,08,TollsByMail,7H,-11.5,-8.33333333333333
YoY,08,EZ AMS,Motor Cycle 2L,-1,-16.6666666666667
YoY,08,EZ AMS,Motor Cycle 2L,-0.63,-16.6666666666667
YoY,08,EZ AMS,2L,-436,-1.51136993899057
YoY,08,EZ AMS,2L,-518.719999999994,-1.49890396692885
YoY,08,EZ AMS,3L,3,23.0769230769231
YoY,08,EZ AMS,3L,4.22,22.7003765465304
YoY,08,EZ AMS,4L,4,18.1818181818182
YoY,08,EZ AMS,4L,6.46,17.4311926605505
YoY,08,EZ AMS,2H,-86,-8.51485148514852
YoY,08,EZ AMS,2H,-165,-8.49814585908529
YoY,08,EZ AMS,4H,-53,-26.9035532994924
YoY,08,EZ AMS,4H,-151.5,-26.8974700399467
YoY,08,EZ AMS,5H,-54,-7.80346820809249
YoY,08,EZ AMS,5H,-217.32,-7.55162815910821
YoY,08,EZ AMS,5S,-63,-18.1034482758621
YoY,08,EZ AMS,5S,-220.5,-18.1034482758621
YoY,08,EZ AMS,6H,-2,-40
YoY,08,EZ AMS,6H,-9.25,-37.7551020408163
YoY,08,EZ AMS,6S,6,10
YoY,08,EZ AMS,6S,21,10
YoY,08,EZ AMS,Non-Revenue,-26,-12.6829268292683
YoY,08,EZ AMS,Non-Revenue,0,NaN
YoY,08,EZ AMS,Sub Total,-938,-2.5926642527433
YoY,08,EZ AMS,Sub Total,-1413.3,-3.12818382290934
YoY,08,EZ CAPS,2L,15,14.018691588785
YoY,08,EZ CAPS,2L,17.85,14.018691588785
YoY,08,EZ CAPS,3L,-2,-Infinity
YoY,08,EZ CAPS,3L,-2.86,-Infinity
YoY,08,EZ CAPS,2H,-11,-6.47058823529412
YoY,08,EZ CAPS,2H,-20.9,-6.47058823529411
YoY,08,EZ CAPS,3H,20,7.19424460431655
YoY,08,EZ CAPS,3H,52.2,7.19424460431655
YoY,08,EZ CAPS,4H,7,5.46875
YoY,08,EZ CAPS,4H,19.95,5.46875
YoY,08,EZ CAPS,5H,-34,-5.96491228070175
YoY,08,EZ CAPS,5H,-137.36,-5.96491228070174
YoY,08,EZ CAPS,5S,-19,-6.95970695970696
YoY,08,EZ CAPS,5S,-66.5,-6.95970695970696
YoY,08,EZ CAPS,6H,-12,-31.5789473684211
YoY,08,EZ CAPS,6H,-57,-31.5789473684211
YoY,08,EZ CAPS,6S,-15,-83.3333333333333
YoY,08,EZ CAPS,6S,-52.5,-83.3333333333333
YoY,08,EZ CAPS,7H,-1,-50
YoY,08,EZ CAPS,7H,-5.46,-50
YoY,08,TOTALS,TOTALS,-814,-1.85912662159693
YoY,08,TOTALS,TOTALS,-1434.38,-2.42848820268881
DoD,08,TOTALS,Passenger,-253,-0.731933113464098
YoY,08,TOTALS,Commercial,-323,-6.7672323486277
YoY,08,TOTALS,Commercial,-1029.46,-6.87077109131706
YoY,08,TOTALS,Non-Revenue,-26,-12.6829268292683
YoY,08,TOTALS,Non-Revenue,0,NaN
YoY,08,TOTALS,TOTAL,-814,-1.85912662159693
YoY,08,TOTALS,TOTAL,-1434.38,-2.42848820268881
YoY,14,Non EZ,3L,4,18.1818181818182
YoY,14,Non EZ,3L,12,18.1818181818182
YoY,14,Non EZ,4L,-12,-25
YoY,14,Non EZ,4L,-54,-25
YoY,14,Non EZ,3H,-5,-7.57575757575758
YoY,14,Non EZ,3H,-41.25,-7.57575757575758
YoY,14,Non EZ,6H,-6,-75
YoY,14,Non EZ,6H,-88.5,-75
YoY,14,Non EZ,7H,3,21.4285714285714
YoY,14,Non EZ,7H,49.5,21.4285714285714
YoY,14,EZ AMS,3L,7,87.5
YoY,14,EZ AMS,3L,13.5,81.8181818181818
YoY,14,EZ AMS,4L,-7,-43.75
YoY,14,EZ AMS,4L,-16.31,-26.8477366255144
YoY,14,EZ AMS,2H,-81,-10.7142857142857
YoY,14,EZ AMS,2H,-307.89,-11.1916861137162
YoY,14,EZ AMS,3H,-38,-10.3825136612022
YoY,14,EZ AMS,3H,-213.59,-10.3603996895615
YoY,14,EZ AMS,4H,-25,-10.9649122807018
YoY,14,EZ AMS,4H,-253.63,-19.462541341498
YoY,14,EZ AMS,5H,-231,-15.5660377358491
YoY,14,EZ AMS,5H,-2868.65,-16.3127540471257
YoY,14,EZ AMS,6H,-41,-146.428571428571
YoY,14,EZ AMS,6H,-501.56,-173.220514591608
YoY,14,EZ AMS,7H,8,36.3636363636364
YoY,14,EZ AMS,7H,66,34.7826086956522
YoY,14,EZ AMS,7S,-17,-42.5
YoY,14,EZ AMS,7S,-84.65,-37.0881528215913
YoY,14,EZ AMS,Non-Revenue,-14,-100
YoY,14,EZ AMS,Non-Revenue,0,NaN
YoY,14,EZ AMS,Sub Total,-438,-13.3822181484876
YoY,14,EZ AMS,Sub Total,-4111.73,-15.6528508751059
YoY,14,EZ CAPS,4L,2.25,33.3333333333333
YoY,14,EZ CAPS,2H,-20,-12.5
YoY,14,EZ CAPS,2H,-61.09,-12.5645297299521
YoY,14,EZ CAPS,3H,7,5.69105691056911
YoY,14,EZ CAPS,3H,33.04,5.71636187477291
YoY,14,EZ CAPS,4H,-39,-20
YoY,14,EZ CAPS,4H,-179.61,-18.8335587781937
YoY,14,EZ CAPS,5H,-216,-20.2436738519213
YoY,14,EZ CAPS,5H,-1380.31,-16.3241146452372
YoY,14,EZ CAPS,5S,-31,-8.49315068493151
YoY,14,EZ CAPS,5S,-171.83,-8.27709456302357
YoY,14,EZ CAPS,6H,-41,-132.258064516129
YoY,14,EZ CAPS,6H,-317.28,-122.852938898784
YoY,14,EZ CAPS,6S,-7,-63.6363636363636
YoY,14,EZ CAPS,6S,-26.95,-40.4229788510575
YoY,14,EZ CAPS,7H,-12,-46.1538461538462
YoY,14,EZ CAPS,7H,-99,-46.1538461538462
YoY,14,EZ CAPS,Sub Total,-359,-18.0583501006036
YoY,14,EZ CAPS,Sub Total,-2202.06,-16.7577460608574
YoY,14,TOTALS,TOTALS,-819,-13.2438551099612
YoY,14,TOTALS,TOTALS,-6467.53999999999,-13.3215926903168
YoY,14,TOTALS,Passenger,-8,-8.33333333333333
YoY,14,TOTALS,Passenger,-42.56,-11.6284153005464
YoY,14,TOTALS,Commercial,-797,-13.1215014817254
YoY,14,TOTALS,Commercial,-6424.98,-13.3344540535829
YoY,14,TOTALS,Non-Revenue,-14,-100
YoY,14,TOTALS,Non-Revenue,0,NaN
YoY,14,TOTALS,TOTAL,-819,-13.2438551099612
YoY,14,TOTALS,TOTAL,-6467.53999999999,-13.3215926903168
