TimeFrame,Station,Class,Type,Count,Pct
YoY,08,TOTALS,TOTALS,-629.659999999996,-1.04077564116232
YoY,08,TOTALS,Passenger,-528,-1.5164134524254
YoY,08,TOTALS,Passenger,-644.68,-1.53356961235191
DoD,08,TOTALS,Non-Revenue,53,22.9437229437229
YoY,08,TOTALS,TOTAL,-330,-0.739943495224001
YoY,08,TOTALS,TOTAL,-629.659999999996,-1.04077564116232
YoY,14,Non EZ,3L,-6,-33.3333333333333
YoY,14,Non EZ,3L,-18,-33.3333333333333
YoY,14,Non EZ,2H,-74,-28.6821705426357
YoY,14,Non EZ,2H,-388.5,-28.6821705426357
YoY,14,Non EZ,3H,-30,-42.2535211267606
YoY,14,Non EZ,3H,-247.5,-42.2535211267606
YoY,14,Non EZ,4H,-14,-25.9259259259259
YoY,14,Non EZ,4H,-115.5,-25.9259259259259
YoY,14,Non EZ,5H,-68,-14.8148148148148
YoY,14,Non EZ,5H,-918,-14.8148148148148
YoY,14,Non EZ,6H,-9,-64.2857142857143
YoY,14,Non EZ,6H,-132.75,-64.2857142857143
YoY,14,Non EZ,7H,-5,-45.4545454545455
YoY,14,Non EZ,7H,-82.5,-45.4545454545455
YoY,14,Non EZ,Sub Total,-204,-21.5873015873016
YoY,14,Non EZ,Sub Total,-1893.75,-20.3755009817898
YoY,14,EZ AMS,3L,-5,-500
YoY,14,EZ AMS,3L,-10.5,-350
YoY,14,EZ AMS,4L,4,17.3913043478261
YoY,14,EZ AMS,4L,12.39,16.0783804827407
YoY,14,EZ AMS,4H,-38,-15.0197628458498
YoY,14,EZ AMS,4H,-249.64,-16.035457348407
YoY,14,EZ AMS,5H,843.710000000003,4.12492049220764
YoY,14,EZ AMS,6S,2,5.12820512820513
YoY,14,EZ AMS,6S,19.22,8.97501751109036
YoY,14,EZ AMS,7H,-7,-50
YoY,14,EZ AMS,7H,-66,-53.3333333333333
YoY,14,EZ AMS,7S,10,17.5438596491228
YoY,14,EZ AMS,7S,61.54,19.6682540189843
DoD,14,EZ AMS,Non-Revenue,7,25
YoY,14,EZ CAPS,4L,1,50
YoY,14,EZ CAPS,4L,2.25,50
YoY,14,EZ CAPS,2H,-36,-20
YoY,14,EZ CAPS,2H,-91.4300000000001,-16.705645898045
YoY,14,EZ CAPS,3H,-27,-23.2758620689655
YoY,14,EZ CAPS,3H,-130.07,-23.8682447931003
YoY,14,EZ CAPS,4H,-29,-12.3931623931624
YoY,14,EZ CAPS,4H,-120.8,-10.6593251447127
YoY,14,EZ CAPS,6H,6,8.33333333333333
YoY,14,EZ CAPS,6H,36.89,6.40963269277548
YoY,14,EZ CAPS,6S,3,16.6666666666667
YoY,14,EZ CAPS,6S,10.27,10.9698782311472
YoY,14,EZ CAPS,7H,5,13.1578947368421
YoY,14,EZ CAPS,7H,37.13,11.8437001594896
YoY,14,EZ CAPS,7S,4,50
YoY,14,EZ CAPS,7S,20.52,44.4540727902946
YoY,14,TOTALS,TOTALS,-313,-4.46951306582893
YoY,14,TOTALS,TOTALS,-1879.35000000001,-3.41595409696378
YoY,14,TOTALS,Commercial,-316,-4.59903944112938
YoY,14,TOTALS,Commercial,-1874.49,-3.4326113182836
DoD,14,TOTALS,Non-Revenue,7,25
YoY,14,TOTALS,TOTAL,-313,-4.46951306582893
YoY,14,TOTALS,TOTAL,-1879.35000000001,-3.41595409696378
YoY,08,TollsByMail,3H,-18,-19.5652173913043
YoY,08,TollsByMail,3H,-49.5,-19.5652173913043
YoY,08,EZ AMS,Green Discount,-17,-38.6363636363636
YoY,08,EZ AMS,Green Discount,-18.19,-38.6363636363636
YoY,08,EZ AMS,Motor Cycle 2L,3,42.8571428571429
YoY,08,EZ AMS,Motor Cycle 2L,1.89,42.8571428571429
DoD,08,EZ AMS,2L,-392,-1.33861494331376
YoY,08,EZ AMS,3L,-1,-10
YoY,08,EZ AMS,3L,-1.5,-10.4384133611691
YoY,08,EZ AMS,4L,5,27.7777777777778
YoY,08,EZ AMS,4L,8.84,28.8888888888889
YoY,08,EZ AMS,4H,14,5.6
YoY,08,EZ AMS,4H,40.05,5.60335781741867
YoY,08,EZ AMS,6S,-21,-38.8888888888889
YoY,08,EZ AMS,6S,-73.5,-38.8888888888889
YoY,08,EZ AMS,7S,1,16.6666666666667
YoY,08,EZ AMS,7S,3.5,16.6666666666667
DoD,08,EZ AMS,Non-Revenue,53,22.9437229437229
YoY,08,EZ CAPS,2L,-22,-23.9130434782609
YoY,08,EZ CAPS,2L,-26.18,-23.9130434782609
YoY,08,EZ CAPS,3L,1,50
YoY,08,EZ CAPS,3L,1.43,50
YoY,08,EZ CAPS,4L,-2,-66.6666666666667
YoY,08,EZ CAPS,4L,-3.32,-66.6666666666667
YoY,08,EZ CAPS,2H,-14,-7.73480662983425
YoY,08,EZ CAPS,2H,-26.6,-7.73480662983426
YoY,08,EZ CAPS,3H,37,14.3410852713178
YoY,08,EZ CAPS,3H,96.5700000000001,14.3410852713178
YoY,08,EZ CAPS,4H,29,23.9669421487603
YoY,08,EZ CAPS,4H,82.65,23.9669421487603
YoY,08,EZ CAPS,5H,-84,-13.9072847682119
YoY,08,EZ CAPS,5H,-339.36,-13.9072847682119
YoY,08,EZ CAPS,6S,7,21.2121212121212
YoY,08,EZ CAPS,6S,24.5,21.2121212121212
YoY,08,TOTALS,TOTALS,-330,-0.739943495224001
YoY,08,TOTALS,TOTALS,-629.659999999996,-1.04077564116232
