TimeFrame,Type,Station,Class,Type,Count,Pct
TimeFrame,Type,Station,Class,Type,Count,Pct
TimeFrame,Type,Station,Class,Type,Count,Pct
DoD,Count,06,TollsByMail,3L,7,63.6363636363636
DoD,Revenue,06,TollsByMail,3L,10.5,63.6363636363636
YoY,Count,06,TollsByMail,3L,-7,-28
YoY,Revenue,06,TollsByMail,3L,-10.5,-28
DoD,Count,06,TollsByMail,4L,-12,-21.8181818181818
DoD,Revenue,06,TollsByMail,4L,-21,-21.8181818181818
YoY,Count,06,TollsByMail,4L,26,152.941176470588
YoY,Revenue,06,TollsByMail,4L,45.5,152.941176470588
YoY,Count,06,TollsByMail,2H,138,24.8648648648649
YoY,Revenue,06,TollsByMail,2H,276,24.8648648648649
DoD,Count,06,TollsByMail,3H,10,6.84931506849315
DoD,Revenue,06,TollsByMail,3H,22.5,6.84931506849315
YoY,Count,06,TollsByMail,3H,26,20
YoY,Revenue,06,TollsByMail,3H,58.5,20
DoD,Count,06,TollsByMail,4H,-6,-10.1694915254237
DoD,Revenue,06,TollsByMail,4H,-16.5,-10.1694915254237
YoY,Count,06,TollsByMail,4H,-18,-25.3521126760563
YoY,Revenue,06,TollsByMail,4H,-49.5,-25.3521126760563
DoD,Count,06,TollsByMail,5H,25,8.86524822695035
DoD,Revenue,06,TollsByMail,5H,106.25,8.86524822695035
YoY,Count,06,TollsByMail,5H,50,19.4552529182879
YoY,Revenue,06,TollsByMail,5H,212.5,19.4552529182879
DoD,Count,06,TollsByMail,6H,4,28.5714285714286
DoD,Revenue,06,TollsByMail,6H,18,28.5714285714286
YoY,Count,06,TollsByMail,6H,3,20
YoY,Revenue,06,TollsByMail,6H,13.5,20
DoD,Count,06,TollsByMail,7H,1,10
DoD,Revenue,06,TollsByMail,7H,5,10
YoY,Count,06,TollsByMail,7H,-10,-47.6190476190476
YoY,Revenue,06,TollsByMail,7H,-50,-47.6190476190476
YoY,Count,06,TollsByMail,Sub Total,390,5.99354541263255
YoY,Revenue,06,TollsByMail,Sub Total,723.5,7.45895512770948
DoD,Count,06,EZ AMS,Commuter,121,7.63406940063091
DoD,Revenue,06,EZ AMS,Commuter,66.55,7.63406940063091
YoY,Count,06,EZ AMS,Commuter,-717,-29.5914156004953
YoY,Revenue,06,EZ AMS,Commuter,-394.35,-29.5914156004953
DoD,Count,06,EZ AMS,Green Discount,17,40.4761904761905
DoD,Revenue,06,EZ AMS,Green Discount,18.19,40.4761904761905
DoD,Count,06,EZ AMS,Motor Cycle 2L,1,50
DoD,Revenue,06,EZ AMS,Motor Cycle 2L,0.63,50
YoY,Count,06,EZ AMS,Motor Cycle 2L,-7,-70
YoY,Revenue,06,EZ AMS,Motor Cycle 2L,-4.41,-70
DoD,Count,06,EZ AMS,2L,959,3.2719208461276
DoD,Revenue,06,EZ AMS,2L,1140.43,3.25977033572693
YoY,Count,06,EZ AMS,2L,-7113,-19.0278743780429
YoY,Revenue,06,EZ AMS,2L,-8505.27,-19.0570029405781
DoD,Count,06,EZ AMS,3L,-1,-5.26315789473684
DoD,Revenue,06,EZ AMS,3L,-1.64,-5.98977355734113
YoY,Count,06,EZ AMS,3L,-8,-30.7692307692308
YoY,Revenue,06,EZ AMS,3L,-11.72,-31.2867058195408
DoD,Count,06,EZ AMS,4L,-2,-7.14285714285714
DoD,Revenue,06,EZ AMS,4L,-3.59,-7.59145696764643
YoY,Count,06,EZ AMS,4L,9,52.9411764705882
YoY,Revenue,06,EZ AMS,4L,15.21,53.3871533871534
DoD,Count,06,EZ AMS,2H,160,8.46560846560847
DoD,Revenue,06,EZ AMS,2H,306.8,8.47373363530907
YoY,Count,06,EZ AMS,2H,-286,-12.2431506849315
YoY,Revenue,06,EZ AMS,2H,-542.1,-12.1288734757803
DoD,Count,06,EZ AMS,3H,141,22.56
DoD,Revenue,06,EZ AMS,3H,306.36,22.688963607009
YoY,Count,06,EZ AMS,3H,-80,-9.45626477541371
YoY,Revenue,06,EZ AMS,3H,-169.88,-9.3008486175746
DoD,Count,06,EZ AMS,4H,55,17.2413793103448
DoD,Revenue,06,EZ AMS,4H,146.07,17.2882318826857
YoY,Count,06,EZ AMS,4H,41,12.3123123123123
YoY,Revenue,06,EZ AMS,4H,114.71,13.0907140493227
DoD,Count,06,EZ AMS,5H,73,7.14285714285714
DoD,Revenue,06,EZ AMS,5H,301.849999999999,7.1001644199082
DoD,Count,06,EZ AMS,5S,28,7.67123287671233
DoD,Revenue,06,EZ AMS,5S,83.72,7.67123287671233
YoY,Count,06,EZ AMS,5S,-57,-12.6666666666667
YoY,Revenue,06,EZ AMS,5S,-170.43,-12.6666666666667
DoD,Count,06,EZ AMS,6H,2,5.88235294117647
DoD,Revenue,06,EZ AMS,6H,9.44,6.38096525618494
YoY,Count,06,EZ AMS,6H,-41,-53.2467532467532
YoY,Revenue,06,EZ AMS,6H,-177.46,-52.998447019472
DoD,Count,06,EZ AMS,6S,30,51.7241379310345
DoD,Revenue,06,EZ AMS,6S,89.7,51.7241379310345
DoD,Count,06,EZ AMS,7H,-3,-9.09090909090909
DoD,Revenue,06,EZ AMS,7H,-13.75,-8.7719298245614
YoY,Count,06,EZ AMS,7H,-4,-11.7647058823529
YoY,Revenue,06,EZ AMS,7H,-18.5,-11.4551083591331
DoD,Count,06,EZ AMS,7S,16,36.3636363636364
DoD,Revenue,06,EZ AMS,7S,47.84,36.3636363636364
YoY,Count,06,EZ AMS,7S,-5,-7.69230769230769
YoY,Revenue,06,EZ AMS,7S,-14.95,-7.69230769230769
DoD,Count,06,EZ AMS,Non-Revenue,59,30.8900523560209
YoY,Count,06,EZ AMS,Non-Revenue,17,7.29613733905579
DoD,Count,06,EZ AMS,Sub Total,1656,4.65600134956561
DoD,Revenue,06,EZ AMS,Sub Total,2498.60000000001,5.23314141378178
YoY,Count,06,EZ AMS,Sub Total,-8218,-18.0849893268194
YoY,Revenue,06,EZ AMS,Sub Total,-9729.42,-16.2228055888479
YoY,Count,06,EZ CAPS,2L,-11,-9.90990990990991
YoY,Revenue,06,EZ CAPS,2L,-13.09,-9.90990990990991
DoD,Count,06,EZ CAPS,4L,3,300
DoD,Revenue,06,EZ CAPS,4L,4.98,300
YoY,Count,06,EZ CAPS,4L,1,33.3333333333333
YoY,Revenue,06,EZ CAPS,4L,1.66,33.3333333333333
DoD,Count,06,EZ CAPS,2H,50,16.8350168350168
DoD,Revenue,06,EZ CAPS,2H,95,16.8350168350168
DoD,Count,06,EZ CAPS,3H,23,11.4427860696517
